N,P,K,temperature,humidity,ph,rainfall,Crop Name,Yield
71,11,24,20.756833559301857,47.36822010774556,6.730602351546703,364.5879029456323,mango,86.04206448961266
112,35,51,21.568442971315122,74.71134080208523,6.250530942086879,148.51220384060684,orange,163.0595837167514
34,22,65,33.215061272220616,84.63003948637703,6.288119039671715,154.31870587688178,muskmelon,129.68661657917013
91,56,16,27.912439168373922,71.68660025288185,6.579294585234379,271.5157301275127,apple,136.00351601501137
80,40,49,32.3725573909361,51.114552691477726,5.674448277683446,203.0975738988205,watermelon,139.66330385304929
40,43,37,32.84918504337389,42.67068816247743,6.977594579698829,226.45880945410818,chickpea,95.55443456200925
102,48,41,33.915118122492785,70.75632912751558,6.30341906682668,341.9639823672049,coconut,168.03624935854774
106,12,44,34.24743808229549,42.3699288965582,6.46079417640464,371.08931811313164,mango,139.94080995313237
94,17,24,28.322386947549592,70.63610259708784,7.448599457709263,337.16610386696414,coconut,96.58596459047402
94,32,57,25.11530258384051,51.278997208054754,6.188733776636508,170.47847898722546,papaya,155.45050344280924
107,23,45,34.42797311521998,85.23280312044147,6.796437871947851,393.99138688271506,watermelon,149.19354847135224
119,36,30,28.21109609001838,63.754633424368095,6.285008634591621,208.95295024482874,cotton,152.19030625817453
43,38,15,20.963790844319167,51.19692166548478,7.288565437367357,150.7201183493839,lentil,76.21979951655567
22,48,10,29.641648250897973,82.65726582792958,7.193512533990079,249.84901164041202,chickpea,57.297401126195616
41,48,13,28.81527125592516,52.70176992237542,5.983248543524769,317.5857308904841,mango,58.56530221872188
72,10,20,33.43689309342059,55.329953826243774,6.883491425221801,124.9812643924222,cotton,49.38616439523567
21,26,53,29.797807837367188,81.71389495277279,5.630343991794414,290.28607438631434,orange,89.74201325709528
107,50,35,25.23578636692327,55.4396014900298,7.426370779059781,357.42337702797886,pigeonpeas,183.95459446198424
49,39,46,34.49338588558731,60.50818846153187,6.197980216028315,178.5344448076263,blackgram,118.57072810228964
57,22,32,32.024292289730504,57.38328353794333,7.163685545169534,307.93696365301224,coconut,114.30433996385142
21,30,38,29.456264275720315,45.82001589151879,6.13686273215462,219.9725889881322,kidneybeans,84.95526050839597
83,28,30,24.393878051046844,41.94479061234131,6.765541482393744,224.24054294187448,muskmelon,108.05163400483576
79,28,57,25.603104444714432,76.22703370304907,7.467181583968664,184.24420936267384,coconut,146.5250259526536
40,34,54,30.04954886144985,72.25685619678603,7.253499726263261,287.31813893196863,muskmelon,127.33948008312768
52,31,54,21.079712276949827,54.11830337760286,5.820731819809815,208.2997759090464,watermelon,136.51353571445205
95,40,58,23.850208874753953,54.779956249243924,6.594976866298943,349.2709010384735,apple,203.36550466016462
77,26,36,30.70851400094897,87.25028915043407,6.1970635642293805,388.87162691485923,pomegranate,110.82817495415235
41,32,48,27.200277647669314,89.38355636167461,6.368677703296584,380.52630401227736,watermelon,134.12462041833143
108,41,49,26.035903472216454,63.671745161684676,6.170366258437538,148.93851189789655,cotton,172.09863769154458
68,19,22,22.271864336006217,80.12258727407468,6.171918496391026,104.25708999842516,banana,78.40817933539601
110,19,32,26.627735517165988,76.83429379346828,6.585106487553222,231.5405023366473,maize,118.8963713869623
78,45,68,31.560379561403508,54.86588547560235,5.883928018246305,318.665112301656,coconut,204.20678067481512
61,17,25,23.960192691078394,42.928135526023915,6.574790850466729,393.2365805004883,chickpea,62.107072028372706
111,29,39,20.08097813275516,47.127812856747,6.057930874396602,335.0266904716317,kidneybeans,136.74547735377703
79,41,13,30.02757351726474,81.91470585003816,6.077965808483599,274.164796560112,banana,110.9293013836636
99,59,49,34.58939906648829,76.56069099981406,6.977496058071246,107.90587366886422,grapes,192.64112677245492
